SNo,English,Telugu,Hindi
1,"While Kaur was on February 15 granted bail by a judicial magistrate in the first case, a Sessions Court in Sonipat had denied her bail in the second case, after which her counsel moved High Court for bail.","కౌర్ ఫిబ్రవరి 15 న మొదటి కేసులో జ్యుడిషియల్ మేజిస్ట్రేట్ బెయిల్ మంజూరు చేయగా, సోనిపట్ లోని సెషన్స్ కోర్టు రెండవ కేసులో ఆమెకు బెయిల్ నిరాకరించింది, ఆ తర్వాత ఆమె న్యాయవాది బెయిల్ కోసం హైకోర్టును ఆశ్రయించారు.","जबकि  कौर 15 फरवरी को न्यायिक मजिस्ट्रेट द्वारा पहले मामले में जमानत दी गई थी, सोनीपत में एक सत्र न्यायालय ने दूसरे मामले में उसकी जमानत से इनकार कर दिया था, जिसके बाद उसके वकील ने जमानत के लिए उच्च न्यायालय का रुख किया।
"
2,"“One party is playing politics of ‘tushtikaran’ (appeasement), while second does politics of ‘nafrat’ (hate).","“ఒక పార్టీ‘ తుష్టీకరన్ ’(ప్రసన్నం) రాజకీయాలు ఆడుతుండగా, రెండవది‘ నఫ్రాట్ ’(ద్వేషం) రాజకీయాలు చేస్తుంది.","“एक पार्टी t तुष्टिकरण’ (तुष्टिकरण) की राजनीति खेल रही है, जबकि दूसरी (नफ़रत ’(नफरत) की राजनीति करती है।
"
3,"The new parties too are vociferously campaigning against the CAA and about protecting the Assamese identity, while talking about strengthening the state’s economy, amongst other issues.","కొత్త పార్టీలు కూడా CAA కి వ్యతిరేకంగా మరియు అస్సామీ గుర్తింపును కాపాడటం గురించి గట్టిగా ప్రచారం చేస్తున్నాయి, ఇతర సమస్యలతో పాటు రాష్ట్ర ఆర్థిక వ్యవస్థను బలోపేతం చేయడం గురించి మాట్లాడుతున్నాయి.","नई पार्टियां भी सीएए के खिलाफ मुखर रूप से अभियान चला रही हैं और असम की पहचान को बचाने के बारे में, जबकि अन्य मुद्दों के बीच राज्य की अर्थव्यवस्था को मजबूत करने की बात कर रही हैं।
"
4,"While the police is still investigating the motive behind the alleged attack on the the girl, a fortnight ago, she had approached the Lalbag police station and lodged a complaint against unknown persons for allegedly circulating her photos with obscene text on the web.","బాలికపై దాడి ఆరోపణల వెనుక పోలీసులు ఇంకా దర్యాప్తు చేస్తుండగా, పక్షం రోజుల క్రితం, ఆమె లాల్‌బాగ్ పోలీస్ స్టేషన్‌ను సంప్రదించి, తన ఫోటోలను అశ్లీల వచనంతో వెబ్‌లో ప్రసారం చేసినట్లు తెలియని వ్యక్తులపై ఫిర్యాదు చేసింది.","जबकि पुलिस अभी भी लड़की पर कथित हमले के पीछे की मंशा की जांच कर रही है, एक पखवाड़े पहले उसने लालबाग पुलिस स्टेशन का दरवाजा खटखटाया था और अज्ञात व्यक्तियों के खिलाफ उसकी तस्वीरों को वेब पर अश्लील पाठ के साथ प्रसारित करने के लिए शिकायत दर्ज की थी।
"
5,"While Munawar was the first to get ad-interim bail from the Supreme Court, Prakhar Vyas and Edwin Anthony were granted relief by the High Court on February 12 after they pleaded for parity with the Supreme Court’s order.","సుప్రీంకోర్టు నుండి మొట్టమొదటిసారిగా తాత్కాలిక బెయిల్ పొందిన మునవర్ కాగా, సుప్రీంకోర్టు ఆదేశంతో సమానత్వం కోసం అభ్యర్ధించిన తరువాత ఫిబ్రవరి 12 న ప్రఖర్ వ్యాస్ మరియు ఎడ్విన్ ఆంథోనీలకు హైకోర్టు ఉపశమనం ఇచ్చింది.","जबकि मुनव्वर को उच्चतम न्यायालय से विज्ञापन-अंतरिम जमानत प्राप्त करने वाले पहले व्यक्ति थे, प्रखर व्यास और एडविन एंथोनी को उच्च न्यायालय ने 12 फरवरी को राहत दी थी, क्योंकि उन्होंने सुप्रीम कोर्ट के आदेश के साथ समानता की अपील की थी।
"
6,The process of handing out application forms has been underway since February 17.,ఫిబ్రవరి 17 నుంచి దరఖాస్తు ఫారాలను అందజేసే ప్రక్రియ జరుగుతోంది.,"आवेदन फॉर्म सौंपने की प्रक्रिया 17 फरवरी से चल रही है।
"
7,"“I don’t think the bottleneck will be infrastructure and staff, because they will be available even after 5 o’ clock in the evening – the infrastructure is available and the staff is available.","“అడ్డంకి మౌలిక సదుపాయాలు మరియు సిబ్బంది అవుతుందని నేను అనుకోను, ఎందుకంటే అవి సాయంత్రం 5 గంటల గడియారం తర్వాత కూడా అందుబాటులో ఉంటాయి - మౌలిక సదుపాయాలు అందుబాటులో ఉన్నాయి మరియు సిబ్బంది అందుబాటులో ఉన్నారు.","

""मुझे नहीं लगता कि अड़चन बुनियादी ढांचे और कर्मचारी होंगे, क्योंकि वे शाम को 5 बजे के बाद भी उपलब्ध होंगे - बुनियादी ढांचा उपलब्ध है और कर्मचारी उपलब्ध हैं।
"
8,"Because during the (2015) agitation, the BJP would bring me down and I would rise up.”","ఎందుకంటే (2015) ఆందోళన సమయంలో, బిజెపి నన్ను దించేస్తుంది మరియు నేను వ్యతిరేకిస్తున్నాను","क्योंकि (2015) आंदोलन के दौरान, भाजपा मुझे नीचे लाएगी और मैं ऊपर उठूंगा। ”
"
9,"Because they removed Keshubhai Patel as CM, our family stayed away from the BJP.","వారు కేశూభాయ్ పటేల్‌ను సిఎంగా తొలగించినందున, మా కుటుంబం బిజెపికి దూరంగా ఉంది.","क्योंकि उन्होंने केशुभाई पटेल को सीएम के पद से हटा दिया, इसलिए हमारा परिवार भाजपा से दूर रहा।
"
10,"Because in the agitation, the BJP would bring me down and I would rise up.","ఎందుకంటే ఆందోళనలో, బిజెపి నన్ను దించేస్తుంది మరియు నేను నిలదోక్కుకుంటున్నాను","क्योंकि आंदोलन में, भाजपा मुझे नीचे लाएगी और मैं ऊपर उठूंगा।
"
